Title,Author,Language(s),Classes Where this could be useful,Topics Covered,Comments,class activity ideas,,
"mango, Abuela, and me",Meg Medina,"English, Spanish","intro psych, developmental psychology, psycholinguistics, perception, cognitive psychology, multicultural psychology","family, family interactions, generations, caring for family, Word learning, code switching, learning, perceptual grouping (similarity, proximity), internal motivation to learn, repetition,critical thinking/problem-solving, Challenges in a new place",would be interesting paired with Drawn Together; to class as an example of learning,,,
Teddy's favorite toy,Christian Trimmer,English,"developmental psychology, perception, cognitive psychology","breaking gender norms, perceptual grouping (similarity, proximity), critical thinking/problem-solving, movement perception",,,,
the crayon man,Natascha Biebow,English,"intro psych, perception, psycholinguistics, cognitive psychology","perceptual grouping and segregation, adjectives, comparison, emotions, creative thinking/solutions, critical thinking/problem-solving, categories",,,,
Boys dance,John Robert Allman ,English,"psycholinguistics, perception, social psychology","diversity, rhyming, movemeent perception, breaking gender norms, Dream big/following dreams",,,,
Sharice's big voice: a native kid becomes a congressman,Sharice Davids with Nancy K. Mays,"English, Ho-Chunk","intro psych, cognitive psychology","dream big/following dreams, overcoming challenges, culture, cultural history,determination,perseverance, personal history,critical thinking/problem-solving, indigenous people",,,,
six dots: the story of young Louis Braille,Jen Bryant,English,"intro psych, cognitive psychology, perception","emotions, critical thinking/problem-solving, persistence, (dis)ability, echolocation, dream big/following dreams, helping others",great story but book has too much text,,,
it feels good to be yourself: a book about gender identity,Theresa Thorn,English,"psychology of gender, developmental psychology","gender diversity, breaking the gender binary,gender identity,nonconformity, acceptance, gender expression, perceptual grouping and segregation,transgender child, Understanding the gender spectrum",,,,
mixed me,Taye Diggs,English,,"rhyming, race, acceptance",,,,
Kind like Marsha: learning from LGBTQ+ leaders,Sarah Prager,English,,"values, adjectives, standing up for others, activism, diversity",,,,
dancing hands: how Teresa Carreno played the piano for President Lincoln,Margarita Engle,English,"intro psych, psycholinguistics, developmental psychology, perception","descriptive language, adjectives, Literal vs. figurative language, emotions (happiness, sadness, anxiety, homesickness, empathy, managing emotions), verbs, immigration, perceptual grouping and segregation, dream big/following dreams",,,,
dragons love tacos,Adam Rubin,English,"intro psych, psycholinguistics, developmental psychology, perception","objectives, comparisons, senses (smell, touch/texture), perceptual grouping (proximity, similarity), consequences, Literal vs. figurative language",,,,
born ready: the true story of a boy named Penelope,Jodie Patterson,English,"intro psych, developmental psychology, perception, social psychology, psychology of gender","movement perception, transgender child, gender identity, self-concept, adjectives, comparison, senses, family interactions,parent-child relationships, sibling relationships, Pronouns, pronouns changing over time, acceptance, perseverance, Learning to stand up for yourself, love","child with multiple minority identities: race, gender; goes with a YouTube video I show in Adolescence about transgender children and their families https://www.youtube.com/watch?v=ZLNdExzuKwc&list=PLciBNHHFYUY90mei8ITwI123sejYrfyKY&index=13&t=1s ",,,
Mary wears what she wants,Keith Negley,English,"intro psych, developmental psychology, perception, social psychology, psychology of gender","gender roles, breaking gender norms, motion perception, descriptive language, emotions, conformity, different isn't bad or wrong",,,,
She persisted in sports: American Olympians who changed the game,Chelsea Clinton,English,"intro psych, developmental psychology, perception, social psychology, psychology of gender","motion perception, diversity, (dis)ability, children in wheelchairs, gender expectations,dream big, following dreams, persistence, hearing loss,role models","great book, great messages but too much text",,,
Rescue & Jessica: a life-changing friendship,Jessica Kensky & Patrick Downes,English,,"(Dis)ability, helping others, dealing with change, worry, prosthetics, service animals, persistence, family",,,,
I talk like a river,Jordan Scott,English,"psycholinguistics, developmental psychology","language impairments,phonemes, sounds and spelling, descriptive language,Literal vs. figurative language, Daily tasks/activities/routines, parent-child relationship, anxiety, stuttering",,,,
Fauja Singh keeps going: the true story of the oldest person to ever run a marathon,Simran Jeet Singh,English,"perception, developmental psychology, social psychology, intro psych","motion perception, self-description, culture, persistence, dream big/following dreams, parent-child relationships, (dis)ability, family relationships,social belonging, bullying, emotions",,,,
Sam's super seats,Keah Brown,English,"perception, developmental psychology, social psychology, intro psych","diversity, self-concept, self-esteem, developmental stages, parent-child relationships, cerebral palsy, (dis)ability, motion perception, descriptive language, friendship, perceptual grouping/segregation, helping others, self-awareness, acceptance, emotions","great book with multiple identities: minority race/ethnicity, (dis)ability",,,
dark was the night: blind Willie Johnson's journey to the stars,Gary Golio,English,"developmental psychology, intro psych","parent-child relationship, (dis)ability, emotions",,,,
Emmanuel's dream: the true story of Emmanuel Ofosu Yeboah,Laurie Ann Thompson & Sean Qualls,English,"developmental psychology, intro psych, social psychology","(Dis)ability, missing limb, parent-child relationship, developmental stages, persistence, taking care of family, helping others, activism, being different,  embracing differences, growing up, inner strength, believing in yourself, bullying, discrimination, giving/sharing",,,,
She persisted in science,Chelsea Clinton,English,,"discrimination, persistence,helping others,problem-solving, autism, role models, activism","great book, great messages but too much text",,,
"I love you through and through/Te quiero, yo te quiero",Bernadette Rossetti-Shustak,"English, Spanish","psycholinguistics, intro psych, perception","word learning, code-switching, multilingual text (Spanish and English), contrast, emotions, motion perception, affection, family love, shadows",,,,
joyful song: a naming story,Leslea Newman,"English, Hebrew","Developmental psychology, psycholinguistics, perception, social psychology","cultural traditions, family, sibling relationships, motion perception,naming, names have meaning, community support,new baby,family pride, different types of families,honoring traditions,major life events,bold colors, foreground/background,relative size, responsibility,visual attention,woman in non-traditional job,social connection",lesbian (possibly biracial) couple but LGBTQ or race/ethnic identity is not the main focus of the book. Jewish heritage and welcoming a new baby is the focus,,,
there was a shadow,Bruce Handy,English,"perception, intro psych","shadows, perceptual grouping/segregation, contrast, relative size, top-down versus bottom-up processing, adjectives, motion perception, friendship, emotions,Time","lots of potential for a Perception class, though not my favorite book",,,
Yoko writes her name,Rosemary Wells,"English, Japanese","intro psych, developmental, social psychology, psycholinguistics","pride, starting school,Being different, embracing differences, bullying, friendship, word learning, emotions, helping others,multilingual text",,,,
Cece loves science,Kimberly Derting & Shelli R. Johannes,English,"intro psych, research methods","motion perception, girls in STEM, scientific curiosity, scientific method, research questions, definitions, case study, observational research, variables, hypotheses, emotions,research producers","great book for helping students understand the steps of the scientific method, variables",,,
until you find the sun,Maryam Hassan,"English, Urdu","developmental psychology, social psychology","family, emotions, immigration, starting a new school,comparison, making friends",,,,
a tiny difference,June Tate,English,"intro psych, psycholinguistics, perception, abnormal psychology","emotions, descriptive language, simile, mindfulness, therapy technique, perceptual grouping/segregation, texture gradient, foreground/background, acceptance, helping others, family relationships",,,,
A day in the life of Marlon Bundo,Marlon Bundo & Jill Twiss,English,"intro psych, perception, developmental psychology, social psychology","emotions, motion perception, shadow, foreground/background, relationships, being different,breaking gender norms, gay marriage,different isn't bad, critical thinking/problem-solving, bullying",,,,
tough guys have feelings too,Keith Negley,English,"intro psych, developmental psychology","gender norms, emotions",good message though a bit simple,,,
She persisted,Chelsea Clinton,English,,"discrimination, persistence,helping others,problem-solving, autism, role models, activism",good message though a bit simple,,,
Jabari jumps,Gaia Cornwall,English,"intro psych, developmental psychology, abnormal psychology","emotions, motion perception,family relationships, fear, emotion regulation, relative size, cognitive reframing",African-American main character without race being a key factor in the book. Father as the main parent,,,
Evelyn Del Rey is moving away,Meg Medina,"English, Spanish ","intro psych, social psychology, developmental psychology, psycholinguistics, perception ","friendship, loss, descriptive language, motion perception, different types of families, perceptual grouping and segregation, emotions",,,,
a new kind of wild,Zara Gonzalez Hoang,English,"perception, developmental psychology, psycholinguistics, intro psych","motion perception, imagination, alliteration, dealing with change, loneliness, changing perspective,making friends, belonging, curiosity, homesickness, shadows,continuity",,,,
Daddy dressed me,Michael Gardner & Ava Gardner,English,"perception, developmental psychology, social psychology","parent-child relationship,perceptual grouping and segregation (similarity), emotions,anxiety/fear, magnification, helping others, confidence,cooperation/working together, spotlight effect, visual attention, self-esteem",African-American main character without race being a key factor in the book. Father as the main parent,,,
we care: a first conversation about justice,Megan Madison & Jessica Ralli,English,"intro psych, developmental psychology, social psychology","community,ecological systems theory, zone of proximal development, cooperation/working together, safety, food insecurity, emotions, morality, problem-solving, justice, punishment, conflict,stages of development, growth",,,,
